"from","to"
"SMP00067","SMP00020"
"SMP00067","SMP00050"
"SMP00072","SMP00009"
"SMP00072","SMP00020"
"SMP00072","SMP00050"
"SMP00072","SMP00060"
"SMP00072","SMP00048"
"SMP00072","SMP00004"
"SMP00072","SMP00059"
"SMP00072","SMP00654"
"SMP00057","SMP00060"
"SMP00057","SMP00654"
"SMP00009","SMP00004"
"SMP00020","SMP00044"
"SMP00020","SMP00050"
"SMP00020","SMP00006"
"SMP00020","SMP00004"
"SMP00020","SMP00059"
"SMP00007","SMP00044"
"SMP00123","SMP00033"
"SMP00054","SMP00051"
"SMP00051","SMP00481"
"SMP00051","SMP00482"
"SMP00450","SMP00030"
"SMP00008","SMP00006"
"SMP00032","SMP00016"
"SMP00032","SMP00654"
"SMP00050","SMP00048"
"SMP00050","SMP00654"
"SMP00060","SMP00466"
"SMP00060","SMP00654"
"SMP00031","SMP00654"
"SMP00033","SMP00004"
"SMP00011","SMP00462"
"SMP00040","SMP00128"
"SMP00040","SMP00654"
"SMP00128","SMP00654"
"SMP00466","SMP00654"
